Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
2018-05-28,52,75,50,42,41,82,65,29,33,45
2018-05-29,68,73,56,54,32,62,54,39,46,47
2018-05-30,71,69,54,57,47,71,57,45,38,43
2018-05-31,59,75,53,60,44,83,63,30,46,37
2018-06-01,60,67,71,93,79,52,31,42,58,64
2018-06-02,64,51,61,53,49,66,57,42,41,51
2018-06-03,59,69,54,89,72,39,35,33,60,72
2018-06-04,51,85,46,61,45,72,71,39,49,38
2018-06-05,55,81,49,50,64,69,60,31,50,33
2018-06-06,64,82,47,65,56,65,54,29,39,42
2018-06-07,60,78,69,75,80,53,51,40,68,67
2018-06-08,55,69,62,80,71,45,44,32,63,77
2018-06-09,63,72,50,48,35,68,57,39,49,40
2018-06-10,72,69,45,43,47,75,53,38,33,54
2018-06-11,61,74,53,48,49,73,56,20,42,36
2018-06-12,63,78,43,54,53,76,62,37,50,45
2018-06-13,66,75,56,53,41,74,57,32,42,46
2018-06-14,71,81,34,58,35,64,62,35,52,41
2018-06-15,81,71,47,64,33,81,57,34,35,43
2018-06-16,55,81,46,58,39,73,56,34,42,45
2018-06-17,76,77,58,58,53,72,69,25,47,49
2018-06-18,51,86,27,44,46,74,52,35,46,35
2018-06-19,64,83,58,58,47,84,66,43,44,48
2018-06-20,65,71,49,52,41,89,66,40,37,45
2018-06-21,60,79,45,49,40,74,62,32,44,33
2018-06-22,70,82,56,58,54,65,63,38,48,51
2018-06-23,64,82,48,55,59,66,53,41,40,43
2018-06-24,57,55,70,83,83,61,38,40,62,58
2018-06-25,51,63,36,62,51,73,71,31,52,49
2018-06-26,48,81,76,60,86,45,35,43,56,62
2018-06-27,62,75,44,45,38,75,68,24,45,47
2018-06-28,63,72,41,55,51,92,75,29,27,35
2018-06-29,59,78,61,49,45,67,75,33,53,37
2018-06-30,55,85,54,60,34,67,64,50,40,46
2018-07-01,62,74,50,56,47,80,65,34,39,50
2018-07-02,58,74,44,57,56,72,54,30,50,38
2018-07-03,57,78,44,56,43,73,50,39,51,51
2018-07-04,65,95,52,47,51,67,56,32,42,38
2018-07-05,61,71,38,52,39,81,65,19,40,41
2018-07-06,48,74,42,51,58,84,53,40,36,57
2018-07-07,54,69,57,85,73,39,39,36,70,68
2018-07-08,67,87,78,74,61,44,52,41,54,57
2018-07-09,62,66,45,52,42,64,56,29,42,35
2018-07-10,60,71,63,69,71,62,43,45,67,65
2018-07-11,74,85,45,54,45,66,62,35,28,47
2018-07-12,47,76,41,52,50,48,58,38,50,50
2018-07-13,69,65,53,44,39,68,53,28,43,54
2018-07-14,74,70,55,53,50,54,44,40,48,45
2018-07-15,68,72,49,51,40,74,50,32,43,42
2018-07-16,53,85,50,51,57,86,64,26,45,47
2018-07-17,52,79,34,50,37,77,61,33,56,43
2018-07-18,67,71,36,50,42,79,64,36,52,59
2018-07-19,59,78,59,56,49,67,74,30,42,35
2018-07-20,72,85,69,81,78,45,43,29,57,60
2018-07-21,74,74,52,72,42,77,71,25,41,42
2018-07-22,75,85,48,50,38,80,61,36,42,50
2018-07-23,72,75,47,56,30,74,75,26,35,52
2018-07-24,68,72,39,33,53,67,64,26,47,49
2018-07-25,63,73,49,59,43,43,46,39,41,52
2018-07-26,77,83,45,50,53,69,67,29,46,50
2018-07-27,67,88,52,50,51,87,N/A,27,47,51
2018-07-28,63,83,42,43,53,62,57,33,45,46
2018-07-29,62,67,61,60,39,71,61,39,53,41
2018-07-30,64,82,44,55,52,70,61,32,47,34
2018-07-31,65,73,45,58,37,71,63,36,43,52
2018-08-01,56,68,54,51,54,68,63,30,43,47
2018-08-02,55,69,45,60,39,72,60,31,30,55
2018-08-03,61,81,52,56,47,73,72,43,32,52
2018-08-04,66,82,42,60,52,73,63,30,51,53
2018-08-05,60,79,58,61,53,78,49,23,46,38
2018-08-06,50,68,80,78,71,43,30,38,51,71
2018-08-07,55,66,37,45,40,71,69,35,41,44
2018-08-08,65,72,69,75,78,41,39,26,59,57
2018-08-09,58,81,59,60,39,71,62,37,44,55
2018-08-10,58,66,40,47,43,73,68,10,53,26
2018-08-11,72,87,53,58,40,67,59,22,36,37
2018-08-12,69,81,56,51,41,82,54,47,40,50
2018-08-13,57,64,45,70,48,82,73,21,33,40
2018-08-14,67,65,52,55,51,74,59,29,34,49
2018-08-15,69,73,43,57,50,70,56,39,44,61
2018-08-16,64,80,41,58,40,62,52,20,40,54
2018-08-17,71,72,53,46,46,72,57,35,35,48
2018-08-18,64,83,48,47,47,73,60,32,49,46
2018-08-19,57,69,42,53,47,79,61,25,41,44
2018-08-20,52,70,64,65,40,72,54,41,50,40
2018-08-21,64,79,53,59,47,67,62,26,40,47
2018-08-22,63,74,59,49,45,78,64,39,40,47
2018-08-23,64,75,57,54,63,80,52,23,53,47
2018-08-24,65,74,49,54,49,66,55,30,39,34
2018-08-25,65,72,48,53,43,67,67,41,34,47
2018-08-26,59,70,55,50,45,78,58,41,40,50
2018-08-27,55,74,76,81,80,52,52,51,66,73
2018-08-28,62,77,70,81,62,48,34,29,62,60
2018-08-29,59,94,39,49,42,72,65,25,40,41
2018-08-30,70,68,52,54,36,70,71,36,47,53
2018-08-31,72,67,39,50,38,69,59,25,48,48
2018-09-01,66,88,55,53,52,76,63,31,45,54
2018-09-02,51,78,78,71,70,46,39,36,67,80
2018-09-03,63,79,47,52,43,71,60,49,46,40
2018-09-04,49,77,43,49,49,73,51,35,49,48
2018-09-05,54,86,57,63,48,72,50,33,45,42
2018-09-06,69,93,43,55,43,83,67,30,35,47
2018-09-07,65,67,59,44,48,75,62,15,49,39
2018-09-08,63,85,43,51,40,78,65,32,41,38
2018-09-09,65,69,54,49,N/A,74,67,42,63,54
2018-09-10,57,75,37,55,29,65,55,27,53,N/A
2018-09-11,60,65,59,91,82,43,43,43,51,65
2018-09-12,50,76,50,50,43,71,57,31,33,49
2018-09-13,65,72,72,79,77,36,37,46,64,71
2018-09-14,53,71,45,58,52,70,49,38,46,44
2018-09-15,64,79,61,51,45,68,54,19,49,52
2018-09-16,57,83,51,50,51,81,65,21,58,33
2018-09-17,69,77,45,61,40,78,57,28,52,53
2018-09-18,58,82,47,51,45,69,65,34,49,42
2018-09-19,61,83,35,61,42,70,57,40,40,45
2018-09-20,67,74,56,61,36,63,61,30,29,38
2018-09-21,46,67,85,80,70,46,35,37,57,60
2018-09-22,58,75,55,56,54,69,68,31,49,43
2018-09-23,71,73,50,50,38,79,60,38,42,53
2018-09-24,59,67,77,88,82,41,44,47,55,73
2018-09-25,67,85,45,49,53,79,56,38,42,31
2018-09-26,74,83,52,53,37,81,55,25,44,39
2018-09-27,68,86,34,40,56,78,73,31,42,49
2018-09-28,60,70,58,54,41,73,57,41,41,35
2018-09-29,65,82,46,54,37,60,61,23,47,48
2018-09-30,53,73,84,94,69,48,33,N/A,56,67
2018-10-01,61,57,51,54,37,64,72,20,54,49
2018-10-02,79,81,50,41,46,78,60,42,51,56
2018-10-03,68,N/A,49,45,N/A,81,66,30,40,51
2018-10-04,71,88,48,64,40,75,57,40,43,46
2018-10-05,63,73,56,70,45,68,49,29,55,45
2018-10-06,61,92,50,53,45,68,66,25,30,40
2018-10-07,72,81,50,50,46,69,54,34,59,42
2018-10-08,69,83,44,51,54,66,68,29,39,39
2018-10-09,65,80,48,51,41,60,59,36,56,61
2018-10-10,58,80,48,39,50,74,65,28,54,45
2018-10-11,62,75,40,51,42,88,60,33,42,37
2018-10-12,N/A,71,53,53,35,70,58,30,50,48
2018-10-13,65,71,47,50,55,77,65,34,40,42
2018-10-14,61,78,48,43,50,74,61,31,41,43
2018-10-15,63,80,54,60,34,76,63,45,45,46
2018-10-16,65,67,54,50,48,75,61,27,41,44
2018-10-17,60,84,53,52,50,76,61,34,42,60
2018-10-18,66,70,41,60,52,71,56,27,47,27
2018-10-19,50,73,56,48,48,67,61,34,33,47
2018-10-20,62,79,43,46,48,82,58,24,44,42
2018-10-21,72,60,54,45,56,64,67,29,52,58
2018-10-22,52,67,71,91,86,47,34,41,60,71
2018-10-23,61,78,53,49,40,70,61,37,45,45
2018-10-24,64,65,65,82,68,57,37,36,49,59
2018-10-25,61,66,68,79,83,43,31,33,63,69
2018-10-26,66,83,66,72,80,42,47,42,51,66
2018-10-27,67,82,36,68,51,76,49,22,46,51
2018-10-28,65,59,48,44,43,82,61,38,31,41
2018-10-29,68,78,53,51,45,73,64,38,50,50
2018-10-30,53,80,50,62,37,70,66,36,48,41
2018-10-31,62,71,46,46,47,71,76,34,42,33
2018-11-01,66,90,N/A,48,35,73,71,33,43,44
2018-11-02,56,60,52,46,35,71,62,39,54,47
2018-11-03,66,76,62,58,44,70,60,27,45,44
2018-11-04,70,73,N/A,60,38,77,84,39,53,49
2018-11-05,61,68,52,44,51,61,66,27,56,40
2018-11-06,67,68,47,49,45,67,70,27,58,41
2018-11-07,60,72,53,47,47,75,60,20,42,39
2018-11-08,60,80,61,72,66,54,50,37,63,65
2018-11-09,67,71,68,81,68,44,36,25,73,67
2018-11-10,62,87,52,51,45,63,50,43,48,48
2018-11-11,56,70,61,76,65,62,36,47,67,59
2018-11-12,64,76,48,52,45,77,61,41,52,48
2018-11-13,62,73,46,59,39,65,57,44,50,55
2018-11-14,74,75,44,49,36,74,64,34,45,54
2018-11-15,68,78,51,54,30,76,55,39,37,52
2018-11-16,61,N/A,54,49,47,70,63,32,47,43
2018-11-17,58,79,63,75,75,43,N/A,34,55,69
2018-11-18,53,78,54,57,38,72,60,23,47,29
2018-11-19,64,84,54,48,37,71,57,29,40,46
2018-11-20,68,68,50,39,38,69,62,19,46,41
2018-11-21,48,65,65,75,76,43,36,38,62,61
2018-11-22,71,62,48,51,44,65,N/A,26,53,46
2018-11-23,62,N/A,49,47,41,76,65,33,49,55
2018-11-24,64,64,53,45,51,75,54,29,48,53
2018-11-25,56,85,55,60,36,80,57,31,33,39
2018-11-26,58,79,46,43,39,67,64,41,52,37
2018-11-27,56,93,64,52,60,64,65,32,49,42
2018-11-28,67,73,50,56,47,87,59,33,45,49
2018-11-29,62,75,47,41,56,97,69,38,49,47
2018-11-30,56,76,48,65,34,68,65,37,46,42
2018-12-01,53,71,41,54,39,74,62,21,47,39
2018-12-02,69,81,50,60,37,92,69,30,52,50
2018-12-03,66,63,54,57,45,73,57,41,46,49
2018-12-04,63,87,50,N/A,47,63,66,27,32,44
2018-12-05,60,71,48,52,41,74,60,33,40,43
2018-12-06,63,64,52,49,39,69,52,24,41,45
2018-12-07,57,77,65,79,65,34,37,55,62,66
2018-12-08,49,64,77,72,77,61,37,43,62,69
2018-12-09,64,85,50,57,54,72,61,33,45,41
2018-12-10,57,69,55,55,42,75,78,27,39,43
2018-12-11,58,72,45,61,53,68,61,20,40,40
2018-12-12,61,83,47,54,43,63,68,31,42,49
2018-12-13,50,78,52,74,73,50,44,36,47,67
2018-12-14,61,92,51,56,49,84,46,46,54,46
2018-12-15,50,74,75,77,60,44,41,31,56,63
2018-12-16,67,80,50,51,42,68,68,39,39,32
2018-12-17,N/A,76,41,55,43,73,73,N/A,46,41
2018-12-18,72,57,47,54,42,77,67,37,32,50
2018-12-19,84,69,48,56,40,66,67,32,37,43
2018-12-20,72,75,78,86,64,50,47,45,56,54
2018-12-21,53,80,69,81,80,44,46,41,54,79
2018-12-22,72,80,31,46,35,77,60,46,40,71
2018-12-23,55,68,49,52,39,74,73,38,52,58
2018-12-24,52,71,75,87,N/A,42,47,39,63,61
2018-12-25,66,78,52,45,40,72,60,42,41,52
2018-12-26,75,75,67,59,45,72,64,36,42,43
2018-12-27,45,89,51,45,34,65,63,31,39,48
2018-12-28,64,80,54,54,43,83,61,33,52,57
2018-12-29,43,78,70,74,82,42,46,30,57,66
2018-12-30,65,73,65,84,80,45,46,38,62,55
2018-12-31,74,73,46,63,48,66,59,38,40,39
2019-01-01,62,66,31,59,43,73,52,31,48,51
2019-01-02,48,81,62,85,75,42,43,38,53,72
2019-01-03,71,67,55,47,33,70,50,34,42,43
2019-01-04,65,83,41,58,42,63,61,45,43,34
2019-01-05,57,68,49,53,44,71,66,11,47,38
2019-01-06,57,68,31,51,44,N/A,67,31,61,42
2019-01-07,60,63,74,92,64,44,42,57,66,67
2019-01-08,49,77,55,58,46,66,68,44,40,40
2019-01-09,65,75,43,43,47,75,69,40,36,55
2019-01-10,61,71,55,35,40,77,58,38,53,47
2019-01-11,58,78,54,50,43,65,64,30,N/A,52
2019-01-12,62,66,82,86,73,56,44,45,71,73
2019-01-13,61,97,55,60,52,84,68,25,40,41
2019-01-14,50,74,74,69,79,44,45,31,69,59
2019-01-15,72,72,36,64,40,77,60,30,31,49
2019-01-16,69,83,46,49,52,73,64,24,49,49
2019-01-17,47,82,42,48,45,63,57,18,42,34
2019-01-18,63,71,71,73,69,58,52,43,63,55
2019-01-19,56,72,44,47,51,71,61,39,44,45
2019-01-20,52,80,45,48,44,64,65,27,43,42
2019-01-21,65,78,33,39,43,80,63,34,46,52
2019-01-22,64,78,49,44,42,78,61,35,48,42
2019-01-23,61,76,39,60,29,68,72,31,48,54
2019-01-24,73,93,37,67,39,70,45,31,49,34
2019-01-25,70,69,53,54,44,81,66,29,45,47
2019-01-26,53,69,66,71,83,37,36,32,66,59
2019-01-27,52,79,51,51,46,72,57,28,43,46
2019-01-28,57,78,59,50,54,70,60,42,48,49
2019-01-29,76,67,66,72,69,50,33,53,62,82
2019-01-30,60,69,41,52,39,93,61,37,43,47
2019-01-31,69,82,69,61,47,80,60,30,47,46
2019-02-01,69,73,54,62,44,67,59,20,46,38
2019-02-02,81,76,56,53,47,76,55,42,38,39
2019-02-03,70,74,53,55,N/A,69,57,36,45,46
2019-02-04,67,86,47,41,36,64,61,20,42,51
2019-02-05,66,68,47,55,33,78,61,26,44,43
2019-02-06,49,77,49,55,43,81,65,24,45,50
2019-02-07,79,87,32,60,45,70,71,30,40,45
2019-02-08,64,76,50,44,42,59,68,24,44,46
2019-02-09,69,74,54,64,46,77,71,27,45,N/A
2019-02-10,61,78,49,56,45,74,57,32,N/A,40
2019-02-11,57,80,55,61,37,73,55,34,51,43
2019-02-12,63,74,52,59,30,N/A,55,23,44,38
2019-02-13,53,83,50,55,41,67,56,42,36,42
2019-02-14,53,76,47,55,56,71,43,35,41,58
2019-02-15,65,74,41,36,48,71,64,37,56,49
2019-02-16,63,71,49,49,51,76,54,28,35,45
2019-02-17,56,79,51,54,37,72,51,35,44,41
2019-02-18,69,84,60,58,44,72,64,31,47,54
2019-02-19,55,64,77,84,88,45,36,41,68,69
2019-02-20,63,76,47,49,54,70,61,35,45,48
2019-02-21,54,75,56,53,46,81,53,44,45,39
2019-02-22,75,71,65,54,N/A,59,65,42,49,39
2019-02-23,65,70,40,55,45,71,56,39,53,N/A
2019-02-24,68,66,61,40,46,78,58,33,50,45
2019-02-25,60,63,86,76,70,34,51,47,65,64
2019-02-26,70,70,50,66,46,80,60,29,54,44
2019-02-27,59,75,44,54,53,61,55,29,33,48
2019-02-28,68,65,48,39,41,67,63,29,52,48
2019-03-01,54,76,47,54,47,72,N/A,25,41,47
2019-03-02,52,65,67,75,73,52,41,47,70,64
2019-03-03,65,78,40,58,45,77,55,38,39,40
2019-03-04,76,77,51,55,48,71,50,44,49,56
2019-03-05,68,82,50,46,33,84,64,29,43,42
2019-03-06,76,78,42,67,52,70,61,24,49,49
2019-03-07,58,72,75,78,66,53,28,28,N/A,68
2019-03-08,58,83,60,48,37,72,55,35,29,51
2019-03-09,60,79,45,58,44,61,62,29,52,53
2019-03-10,70,73,57,49,32,66,58,24,47,50
2019-03-11,59,68,45,46,52,81,51,43,63,50
2019-03-12,54,76,41,56,41,64,55,31,45,40
2019-03-13,57,72,43,73,49,83,52,25,48,23
2019-03-14,51,72,64,85,79,48,50,27,64,44
2019-03-15,74,71,58,54,54,73,71,46,38,50
2019-03-16,68,64,68,97,80,44,40,34,69,68
2019-03-17,59,75,58,49,38,77,53,26,47,45
2019-03-18,51,92,53,60,56,81,60,33,55,38
2019-03-19,70,74,30,53,46,90,64,N/A,44,56
2019-03-20,75,77,42,55,48,67,62,47,43,36
2019-03-21,57,65,32,N/A,45,76,56,31,51,46
2019-03-22,57,76,53,43,62,75,70,31,42,33
2019-03-23,58,73,43,53,52,73,57,32,43,48
2019-03-24,68,73,73,93,84,47,21,42,59,58
2019-03-25,52,81,51,59,44,73,58,26,46,39
2019-03-26,78,77,58,50,47,65,66,29,37,43
2019-03-27,73,88,56,56,41,86,56,27,54,44
2019-03-28,60,61,71,67,82,54,48,33,74,60
2019-03-29,58,81,59,47,50,91,64,27,38,47
2019-03-30,62,69,53,44,40,75,61,44,47,42
2019-03-31,67,84,42,64,47,66,59,25,44,33
2019-04-01,87,79,57,43,41,76,65,24,47,45
2019-04-02,60,76,47,65,44,77,62,48,62,50
2019-04-03,52,82,43,69,47,74,54,27,45,46
2019-04-04,56,73,47,54,31,78,62,41,48,60
2019-04-05,68,89,49,43,32,76,52,25,50,45
2019-04-06,60,75,57,47,48,69,57,30,35,36
2019-04-07,81,84,58,43,51,76,70,35,33,56
2019-04-08,66,79,46,66,44,79,58,31,49,46
2019-04-09,57,73,59,N/A,76,43,29,34,80,72
2019-04-10,58,80,74,64,73,30,41,35,50,65
2019-04-11,55,91,72,N/A,81,39,37,43,67,70
2019-04-12,44,73,N/A,73,70,48,54,43,68,65
2019-04-13,65,79,55,44,49,77,60,31,54,46
2019-04-14,70,68,42,51,43,67,56,32,44,38
2019-04-15,59,81,78,63,70,41,43,34,63,64
2019-04-16,58,79,57,65,47,71,56,19,53,46
2019-04-17,69,65,58,87,81,50,40,N/A,45,72
2019-04-18,63,75,56,44,28,75,55,33,38,41
2019-04-19,80,69,53,59,29,78,N/A,51,38,36
2019-04-20,50,82,78,70,73,53,33,46,63,58
2019-04-21,70,57,68,97,84,54,37,37,59,66
2019-04-22,54,72,44,49,39,78,63,22,48,46
2019-04-23,66,75,52,47,49,68,59,45,46,53
2019-04-24,79,83,51,48,54,81,57,41,42,54
2019-04-25,54,74,47,60,40,71,55,36,59,43
2019-04-26,65,79,49,54,36,72,63,28,50,42
2019-04-27,74,70,43,51,43,76,62,20,41,33
2019-04-28,55,79,42,47,54,81,45,28,45,46
2019-04-29,61,82,50,50,35,70,60,22,46,40
2019-04-30,60,94,51,58,51,75,56,21,35,53
2019-05-01,50,66,74,71,72,51,26,35,55,67
2019-05-02,58,71,71,79,73,42,29,31,67,69
2019-05-03,49,89,46,53,38,61,62,26,49,33
2019-05-04,67,77,50,57,43,84,62,22,37,40
2019-05-05,64,83,47,61,39,76,75,33,42,52
2019-05-06,49,61,78,71,82,52,51,45,63,67
2019-05-07,57,77,44,51,53,77,63,34,55,38
2019-05-08,74,84,48,56,47,73,56,25,40,48
2019-05-09,80,60,72,70,65,53,43,51,72,65
2019-05-10,54,63,67,75,73,46,58,51,59,66
2019-05-11,68,74,48,57,21,65,65,30,50,62
2019-05-12,51,74,59,75,70,39,39,36,58,71
2019-05-13,52,73,53,54,55,84,60,22,54,63
2019-05-14,69,74,51,50,50,75,62,31,45,53
2019-05-15,62,85,46,59,37,62,67,37,42,49
2019-05-16,57,71,51,65,41,74,72,25,42,39
2019-05-17,67,95,61,60,36,74,60,29,49,36
2019-05-18,71,78,48,58,43,63,57,39,33,40
2019-05-19,53,79,51,49,41,73,61,32,33,56
2019-05-20,65,72,68,86,88,38,39,35,73,78
2019-05-21,57,70,69,87,74,42,38,39,58,72
2019-05-22,58,58,67,74,N/A,52,38,27,57,70
2019-05-23,56,66,50,55,45,75,63,25,36,43
2019-05-24,53,75,38,50,36,63,57,17,46,53
2019-05-25,83,78,41,47,50,74,60,41,42,39
2019-05-26,65,67,40,49,36,75,68,29,45,61
2019-05-27,59,71,55,48,55,80,56,25,41,45
2019-05-28,70,80,55,57,53,76,63,31,46,48
2019-05-29,63,73,45,63,46,65,68,32,58,43
2019-05-30,57,71,61,72,64,53,46,51,59,67
2019-05-31,47,71,63,77,69,64,37,33,64,90
2019-06-01,63,66,63,53,41,73,52,27,50,37
2019-06-02,73,71,55,53,36,72,67,34,49,44
2019-06-03,53,66,71,73,67,50,34,50,68,79
2019-06-04,61,76,39,60,40,67,63,34,42,46
2019-06-05,52,81,52,53,58,75,66,12,49,40
2019-06-06,65,82,54,54,38,77,70,41,50,50
2019-06-07,44,72,53,51,44,84,61,28,43,43
2019-06-08,54,71,75,86,75,46,44,41,64,65
2019-06-09,72,79,49,38,47,90,60,31,40,54
2019-06-10,69,69,49,58,35,73,53,25,42,53
2019-06-11,52,61,53,78,81,44,36,39,58,72
2019-06-12,61,78,59,47,48,79,60,35,44,69
2019-06-13,66,85,35,50,45,75,60,50,40,53
2019-06-14,60,86,46,54,47,84,67,28,49,52
2019-06-15,56,73,54,56,43,74,65,44,59,45
2019-06-16,59,80,46,N/A,49,75,58,23,41,51
2019-06-17,65,74,52,45,47,67,67,37,43,49
2019-06-18,52,59,59,79,63,44,35,44,62,57
2019-06-19,64,83,50,53,47,66,60,29,47,53
2019-06-20,71,76,40,45,50,80,63,23,41,41
2019-06-21,64,79,60,48,45,69,62,30,55,44
2019-06-22,56,67,44,57,42,81,60,43,42,45
2019-06-23,61,75,57,43,38,75,67,22,51,32
2019-06-24,57,89,49,46,43,81,60,29,31,44
2019-06-25,67,69,40,47,59,78,56,30,53,55
2019-06-26,72,73,33,56,43,69,69,32,42,50
2019-06-27,62,66,75,80,74,50,39,36,70,71
2019-06-28,51,74,N/A,79,78,41,46,16,65,64
2019-06-29,55,74,72,78,88,49,49,37,56,65
2019-06-30,55,90,56,62,38,66,56,N/A,59,49
2019-07-01,65,70,69,67,74,46,34,35,63,73
2019-07-02,75,71,49,49,54,78,72,29,44,53
2019-07-03,52,65,53,49,55,74,59,29,54,49
2019-07-04,60,70,57,N/A,53,68,49,42,33,43
2019-07-05,56,79,56,62,51,61,67,28,38,48
2019-07-06,69,84,40,42,43,80,65,32,49,38
2019-07-07,N/A,81,51,55,61,93,56,32,29,52
2019-07-08,63,72,45,45,39,80,54,35,54,37
2019-07-09,69,72,60,N/A,44,70,67,33,45,61
2019-07-10,57,77,57,55,42,65,67,26,37,49
2019-07-11,57,79,57,53,46,70,73,29,41,46
2019-07-12,52,67,70,88,85,52,36,51,45,72
2019-07-13,76,68,56,71,48,61,55,30,40,42
2019-07-14,62,69,55,48,49,76,62,32,36,48
2019-07-15,N/A,71,44,52,36,79,52,35,55,40
2019-07-16,61,89,60,50,57,73,64,29,45,43
2019-07-17,75,77,53,59,35,74,57,37,43,48
2019-07-18,49,52,63,69,65,49,36,40,58,72
2019-07-19,58,69,40,61,45,64,61,36,33,45
2019-07-20,58,75,54,58,48,78,66,37,38,47
2019-07-21,67,82,45,54,46,68,72,28,40,46
2019-07-22,47,65,44,52,53,58,68,31,53,47
2019-07-23,71,78,57,50,38,85,65,32,45,45
2019-07-24,59,95,56,51,41,70,N/A,43,46,39
2019-07-25,52,80,66,77,75,42,39,42,70,72
2019-07-26,66,70,45,58,51,69,66,40,45,52
2019-07-27,58,81,48,51,55,75,59,21,55,51
2019-07-28,58,60,75,69,71,35,48,45,62,68
2019-07-29,68,83,50,50,44,74,67,23,49,48
2019-07-30,56,84,55,46,34,74,69,34,49,62
2019-07-31,71,78,55,60,47,61,65,33,47,34
2019-08-01,51,70,65,96,77,48,38,27,54,N/A
2019-08-02,62,78,51,47,40,85,53,36,60,64
2019-08-03,64,58,N/A,42,47,69,55,33,48,56
2019-08-04,54,84,58,50,54,65,67,42,44,36
2019-08-05,73,71,62,77,69,38,28,28,69,59
2019-08-06,57,75,46,52,42,68,59,33,46,33
2019-08-07,50,60,80,88,77,45,26,25,68,63
2019-08-08,57,62,60,72,72,61,35,31,63,60
2019-08-09,61,76,48,62,52,61,73,33,48,42
2019-08-10,54,79,57,52,48,76,67,34,46,41
2019-08-11,69,73,37,53,41,70,83,37,53,41
2019-08-12,64,75,55,53,36,65,65,47,37,40
2019-08-13,63,78,33,53,50,71,58,25,43,43
2019-08-14,83,65,46,54,41,68,61,26,46,60
2019-08-15,60,79,56,55,43,67,58,34,53,40
2019-08-16,58,76,46,49,44,81,48,39,48,46
2019-08-17,60,70,71,80,78,56,36,34,58,72
2019-08-18,56,72,71,85,82,34,36,27,57,73
2019-08-19,60,72,71,86,78,42,36,34,62,72
2019-08-20,73,76,48,48,49,80,52,26,48,48
2019-08-21,51,70,40,58,47,89,70,33,42,48
2019-08-22,61,81,47,50,49,67,51,20,33,50
2019-08-23,59,67,50,60,47,83,63,28,44,43
2019-08-24,61,68,41,50,38,72,67,21,50,47
2019-08-25,65,81,40,66,43,71,55,38,50,52
2019-08-26,66,80,52,55,35,76,55,31,45,47
2019-08-27,62,67,64,75,76,39,35,32,52,61
2019-08-28,61,81,55,47,45,82,43,33,52,43
2019-08-29,54,75,46,54,47,76,64,27,34,39
2019-08-30,57,82,85,76,75,47,34,31,60,73
2019-08-31,63,71,62,68,33,80,74,32,53,41
2019-09-01,68,74,54,45,46,84,67,26,43,45
2019-09-02,63,80,58,42,49,62,65,28,48,43
2019-09-03,62,73,53,51,45,66,59,32,49,36
2019-09-04,59,72,47,57,40,86,63,24,50,44
2019-09-05,64,76,41,55,48,71,70,44,36,50
2019-09-06,67,89,48,53,37,86,56,30,54,29
2019-09-07,54,80,70,84,71,53,49,24,62,62
2019-09-08,63,73,55,53,47,74,69,38,49,41
2019-09-09,56,67,67,81,67,47,50,35,62,60
2019-09-10,56,74,51,51,52,70,61,37,46,38
2019-09-11,53,81,50,57,57,84,65,27,37,51
2019-09-12,56,62,47,51,53,77,63,30,41,38
2019-09-13,63,76,53,52,41,75,75,35,37,29
2019-09-14,67,62,69,82,75,53,50,41,49,67
2019-09-15,52,75,36,59,43,64,67,28,52,47
2019-09-16,61,66,46,59,52,76,60,46,41,47
2019-09-17,68,73,63,86,79,52,39,42,59,61
2019-09-18,71,62,58,49,41,81,65,39,50,54
2019-09-19,57,77,76,77,77,58,44,45,70,68
2019-09-20,61,81,58,62,47,73,69,25,50,48
2019-09-21,53,77,72,81,73,50,22,29,57,70
2019-09-22,62,81,44,55,48,76,54,36,38,36
2019-09-23,66,83,39,44,N/A,80,67,26,50,43
2019-09-24,57,83,53,43,45,77,61,38,34,44
2019-09-25,64,73,42,N/A,49,75,63,28,43,51
2019-09-26,57,82,49,48,52,72,67,20,46,40
2019-09-27,68,68,53,41,45,81,65,21,44,39
2019-09-28,47,68,62,85,71,53,27,20,55,65
2019-09-29,59,68,57,53,43,61,69,38,40,43
2019-09-30,56,68,48,49,50,64,57,35,53,51
2019-10-01,62,84,48,N/A,40,61,57,39,54,47
2019-10-02,70,65,54,51,44,69,56,30,33,46
2019-10-03,61,67,51,56,47,65,67,26,46,50
2019-10-04,58,68,76,81,68,44,43,35,69,64
2019-10-05,63,80,53,42,43,86,62,36,35,48
2019-10-06,66,76,44,50,56,87,59,27,54,40
2019-10-07,68,79,37,50,37,63,54,29,53,48
2019-10-08,67,79,43,54,44,70,60,32,49,38
2019-10-09,55,77,54,84,69,38,31,41,68,75
2019-10-10,64,75,55,51,42,61,71,29,51,49
2019-10-11,56,76,63,86,78,47,27,36,64,71
2019-10-12,64,70,52,65,35,73,60,39,55,54
2019-10-13,62,65,45,56,37,65,62,28,52,46
2019-10-14,63,94,51,59,45,71,60,33,52,44
2019-10-15,70,75,49,61,53,78,54,20,37,41
2019-10-16,58,89,49,43,36,75,64,18,43,47
2019-10-17,53,76,39,57,43,75,68,27,41,59
2019-10-18,66,85,N/A,41,60,77,60,45,43,48
2019-10-19,63,85,52,57,49,68,65,29,42,36
2019-10-20,63,80,39,57,39,71,73,27,38,51
2019-10-21,64,78,39,54,52,80,63,26,44,44
2019-10-22,62,66,49,53,50,78,63,33,25,38
